time,tpt
0.634368,17779912.807817
0.637153,17646672.346402
0.639913,17809553.866183
0.642662,17881335.337611
0.645425,17791574.484844
0.648181,17830059.422649
0.650936,17840731.400297
0.655780,10147199.631371
0.658967,15425345.620384
0.661723,17829684.291400
0.664486,17791832.089585
0.667288,17543734.411161
0.670111,17410956.235277
0.672921,17488951.986508
0.675734,17475117.192291
0.678551,17444726.600972
0.681366,17461539.991872
0.684176,17492773.625316
0.686967,17610948.942508
0.689773,17520602.356256
0.692577,17526843.684745
0.695376,17561943.976284
0.698186,17488049.725949
0.701002,17457136.748282
0.703822,17426678.858345
0.706666,17283684.935640
0.709496,17370518.040926
0.712318,17417088.817515
0.715132,17466100.619835
0.717948,17452208.990487
0.720754,17517136.871877
0.723558,17531357.203543
0.726358,17551295.725692
0.729184,17395920.707559
0.732018,17340765.157029
0.734852,17348630.096372
0.737673,17423627.178618
0.740500,17385657.257217
0.743311,17484665.522888
0.746135,17405351.848239
0.748967,17353910.031670
0.751793,17392984.419139
0.754620,17384685.687769
0.757435,17465579.284640
0.760266,17357991.626125
0.763081,17461056.146646
0.765897,17455977.390191
0.768724,17389735.343597
0.771539,17459797.034122
0.774348,17497500.077427
0.777167,17435487.772953
0.779978,17487775.954948
0.782791,17467441.338971
0.785603,17479977.083136
0.788405,17545988.968074
0.791217,17480194.660631
0.794027,17487247.103426
0.796859,17357066.051278
0.799712,17226073.641885
0.802561,17252399.530361
0.805391,17370204.967146
0.808223,17354645.312318
0.811040,17452239.973981
0.813868,17376364.157007
0.816688,17429465.839637
0.819519,17366755.764097
0.822326,17506249.815239
0.825141,17464313.314443
0.827955,17464679.434018
0.830772,17446807.151232
0.833606,17347276.941272
0.836441,17338251.105511
0.839266,17396240.866018
0.842112,17268680.245188
0.844944,17359469.072618
0.847742,17566287.252684
0.850540,17564636.303536
0.853337,17577708.010209
0.856125,17628672.415926
0.858931,17515245.483193
0.861756,17399246.004354
0.864592,17328880.303735
0.867398,17518173.251426
0.870223,17397182.939066
0.873029,17520077.762455
0.875865,17333231.301237
0.878675,17489655.192046
0.881481,17513547.950784
0.884257,17706077.386279
0.887031,17720695.704592
0.889804,17728857.979772
0.892586,17664480.529072
0.895372,17644258.831283
0.898148,17702047.231390
0.900934,17645164.613892
0.903704,17744570.887669
0.906485,17672591.088343
0.909262,17699816.131060
0.912037,17713166.491584
0.914822,17649263.967666
0.917599,17701122.850157
0.920392,17595918.915291
0.923182,17619174.617377
0.925971,17623337.727933
0.928761,17619743.059753
0.931538,17696164.714887
0.934319,17672387.757039
0.937108,17626693.653716
0.939899,17607441.321962
0.942688,17627736.715808
0.945481,17599176.184396
0.948279,17567655.955300
0.951112,17345446.537969
0.953920,17508157.970946
0.956704,17652541.018490
0.959488,17658235.965507
0.962275,17630620.002245
0.965054,17690330.675153
0.967853,17560808.300226
0.970644,17612223.639981
0.973410,17768857.358936
0.976168,17822346.536441
0.978942,17719360.542771
0.981703,17798493.761909
0.984465,17795046.335836
0.987230,17780279.415760
0.989987,17825720.506977
0.992883,16974198.541349
0.998020,9568634.688286
1.000779,17812271.013819
1.003532,17855858.408623
1.006297,17777372.694416
1.009054,17826638.551412
1.011813,17816157.782028
1.014569,17831372.506340
1.017318,17877823.235351
1.020068,17873727.526020
1.022826,17824880.126666
1.026357,13920494.694142
1.030790,11088193.686055
1.033546,17830441.037874
1.036293,17894290.006036
1.039063,17744487.609509
1.041837,17716575.876664
1.044591,17852680.517216
1.047340,17876880.405809
1.050096,17832129.396130
1.052854,17826625.620552
1.055606,17855443.272859
1.060272,10534060.493265
1.063784,13998278.125213
1.066542,17823083.271568
1.069297,17835377.635601
1.072050,17859426.777513
1.074818,17751274.139306
1.077572,17852583.252670
1.080326,17846010.625841
1.083080,17846904.840835
1.085838,17824724.988196
1.088597,17814272.293935
1.093878,9306988.023350
1.096632,17847267.736249
1.099388,17830990.851242
1.102137,17882480.320977
1.104888,17865217.056281
1.107676,17633314.451088
1.110425,17876509.803494
1.113183,17822385.310456
1.115929,17902032.699473
1.118679,17869224.412694
1.123847,9510948.174891
1.126609,17800898.084861
1.129377,17752088.358824
1.132125,17886671.169388
1.134882,17828798.268192
1.137637,17843289.653237
1.140389,17856591.429839
1.143144,17841242.992198
1.145897,17857765.686582
1.148650,17854360.118869
1.153220,10755377.524648
1.156916,13298740.878287
1.159673,17828643.061512
1.162432,17813891.370490
1.165188,17832174.682172
1.167930,17925542.913973
1.170685,17839682.404873
1.173446,17807405.260488
1.176210,17778755.197768
1.178970,17809515.147980
1.181726,17833662.780066
1.186669,9943968.070540
1.189824,15579110.451557
1.192575,17868256.507198
1.195328,17856507.096901
1.198078,17870133.949655
1.200831,17851811.658157
1.203584,17859958.911048
1.206347,17783663.213194
1.209109,17801865.153914
1.211874,17774640.471445
1.216032,11820829.016441
1.219958,12520547.254291
1.222723,17774499.061588
1.225475,17856831.458715
1.228227,17863541.903656
1.230984,17829373.849889
1.233739,17838368.097077
1.236503,17785368.465997
1.239271,17755390.880856
1.242031,17808966.658188
1.244797,17769441.924849
1.247544,17893931.710215
1.251125,13726909.568621
1.255555,11093621.844540
1.258321,17772648.085514
1.261082,17802445.445784
1.263831,17882428.273097
1.266586,17835293.502920
1.269341,17845110.021609
1.272101,17805779.633191
1.274853,17862392.852717
1.277613,17811225.362443
1.280369,17834704.596377
1.285332,9903130.571544
1.288404,15997115.103591
1.291164,17808353.680165
1.293919,17842823.284100
1.296672,17856020.576274
1.299440,17759304.196011
1.302193,17851519.896099
1.304944,17868185.055244
1.307702,17820860.326397
1.310461,17814078.602012
1.313213,17857149.344726
1.318276,9709449.388962
1.321280,16361889.633142
1.324031,17863275.726159
1.326783,17860406.706519
1.329537,17852038.590796
1.332288,17867327.676364
1.335045,17825701.112692
1.337806,17799995.581870
1.340569,17791890.051679
1.343323,17847118.688132
1.347127,12919848.416785
1.351389,11534302.535144
1.354147,17820756.947093
1.356919,17728487.094800
1.359674,17842991.692365
1.362422,17885551.682229
1.365177,17845660.740018
1.367930,17852998.255453
1.370685,17841793.471948
1.373436,17866580.784556
1.376329,16988883.535314
1.381458,9583180.769064
1.384212,17844481.596245
1.386994,17669649.594370
1.389744,17870328.862479
1.392497,17857071.494044
1.395243,17896948.357662
1.398004,17802516.372940
1.400763,17814795.283168
1.403515,17865294.978003
1.406269,17844196.551908
1.410825,10789729.999914
1.414274,14247815.520472
1.417031,17829238.035127
1.419789,17821183.394451
1.422537,17888318.111595
1.425289,17863541.903656
1.428043,17845939.351690
1.430795,17857616.463071
1.433551,17834814.608931
1.436301,17876314.755815
1.440717,11130931.339102
1.444246,13925562.609502
1.446995,17880990.570208
1.449750,17841346.609320
1.452502,17857538.608317
1.455260,17826897.172548
1.458006,17896922.291558
1.460762,17836147.810108
1.463526,17781688.102708
1.466298,17732420.544672
1.470011,13235542.407618
1.474338,11359576.160606
1.477097,17816009.253074
1.479849,17859861.567178
1.482599,17873578.035630
1.485355,17838283.936181
1.488108,17851649.566947
1.490866,17821629.247603
1.493617,17869438.795209
1.496373,17834102.787014
1.499131,17818644.395295
1.503645,10889284.958666
1.507206,13802616.296702
1.509961,17838801.861983
1.512716,17840763.778662
1.515472,17836510.268186
1.518223,17870263.891065
1.520974,17863898.983489
1.523733,17812703.510464
1.526488,17846321.646980
1.529240,17858940.097775
1.532118,17077553.607091
1.537314,9459899.261465
1.540080,17770913.145530
1.542858,17689108.307281
1.545617,17820078.550175
1.548390,17721807.428218
1.551144,17847967.647654
1.553909,17775893.975356
1.556672,17789449.530327
1.559449,17698515.977707
1.562203,17851156.827744
1.564958,17842803.852582
1.567713,17838316.305663
1.570473,17805199.123940
1.573229,17835785.366760
1.578454,9406969.716340
1.581271,17449086.418631
1.584033,17794125.100461
1.586787,17848447.248274
1.589545,17821105.857050
1.592294,17884757.712329
1.595059,17773669.930886
1.597811,17861315.346043
1.600558,17894895.884341
1.603314,17835416.466336
1.606069,17836037.781106
1.608964,16979552.131149
1.614080,9607072.080991
1.616930,17248942.470538
1.619682,17861360.780446
1.622434,17858875.209147
1.625188,17845667.219261
1.627942,17847513.995113
1.630690,17889151.462720
1.633440,17873558.537068
1.636205,17775392.552576
1.638961,17837927.879638
1.641718,17827336.845702
1.646890,9502831.689948
1.649647,17827860.602321
1.652398,17869010.035322
1.655152,17845466.364934
1.657901,17876763.371839
1.660655,17849458.382676
1.663409,17848518.542458
1.666160,17866340.493513
1.668942,17671517.297788
1.671695,17849484.310706
1.676981,9298313.318653
1.679829,17262942.729050
