time,tpt
0.680680,18193023.268726
0.683386,18168779.802610
0.686087,18197650.654867
0.688787,18199678.824841
0.691489,18191912.238236
0.694193,18176815.684604
0.696899,18163126.694756
0.699605,18163858.312149
0.702306,18201889.438483
0.705003,18226701.271886
0.707707,18172971.550012
0.710413,18167859.757961
0.713115,18190888.863558
0.715820,18170351.481258
0.718524,18178731.638471
0.721224,18203959.005538
0.723928,18178173.617239
0.726635,18155746.697192
0.729340,18170499.259901
0.732044,18176022.530695
0.734744,18207715.089562
0.737444,18199510.354970
0.740143,18212167.752621
0.742842,18209158.593280
0.745545,18187725.209641
0.748242,18222586.041214
0.750947,18172037.643979
0.753647,18202078.174282
0.756349,18195508.428083
0.759047,18219499.149112
0.761749,18190619.573569
0.764450,18197320.530444
0.767147,18224518.413986
0.769850,18179733.473390
0.772552,18191649.650857
0.775250,18218648.242426
0.777954,18180668.170626
0.780662,18145096.537953
0.783471,17499487.319707
0.787634,11806915.424128
0.791699,12092586.820133
0.796041,11318533.638280
0.800251,11676540.444798
0.804507,11548207.398775
0.809014,10905641.748160
0.812986,12375669.240903
0.817342,11283347.650244
0.821070,13183184.359130
0.825501,11092557.817182
0.830009,10903972.411743
0.833826,12878657.068811
0.838182,11283368.371951
0.842025,12790204.169151
0.846335,11403618.059534
0.850176,12796227.778686
0.854489,11397509.716474
0.858908,11121051.395494
0.862733,12852087.771350
0.867177,11060340.874161
0.870983,12915255.199263
0.875425,11065064.207403
0.879114,13321108.585518
0.883557,11064972.042666
0.887711,11831741.429077
0.891780,12078507.348914
0.895651,12697937.024412
0.899953,11425951.918575
0.904115,11808435.805084
0.908058,12465518.330160
0.912565,10906776.704872
0.916454,12639628.134899
0.920886,11088498.863334
0.924758,12694329.623331
0.929047,11459907.112081
0.932901,12753744.427437
0.937279,11228560.091141
0.941469,11730454.433394
0.945587,11936024.540342
0.949798,11671993.058356
0.954343,10813648.270866
0.958778,11084047.941574
0.962558,13000663.892952
0.966959,11169647.428461
0.970690,13172754.652621
0.975175,10958974.968401
0.978852,13369331.593260
0.983369,10880161.502397
