time,tpt
0.911899,18224140.015024
0.914599,18203062.360080
0.917294,18235437.935068
0.919995,18200541.439447
0.922695,18205968.351425
0.925396,18196808.524423
0.928102,18163462.291748
0.930803,18194221.987128
0.933510,18162905.207535
0.936216,18161804.563286
0.938919,18185067.245013
0.941620,18195757.654957
0.944321,18196276.338177
0.947019,18216676.605439
0.949721,18196754.630728
0.952422,18196586.214990
0.955129,18157128.313033
0.957833,18175054.707832
0.960535,18190309.899937
0.963241,18165415.712390
0.965937,18231616.305190
0.968643,18166355.652094
0.971349,18159717.732252
0.974051,18193380.173983
0.976757,18165670.829263
0.979460,18184273.370835
0.982162,18186890.726950
0.984867,18174382.669259
0.987572,18170727.649805
0.990283,18125992.463729
0.992989,18169303.665281
0.995689,18203723.037643
0.998393,18174349.068635
1.001097,18179235.903991
1.003793,18234930.546848
1.006498,18169666.357136
1.009204,18161133.504210
1.011904,18203507.300920
1.014608,18182275.536642
1.017310,18189737.704663
1.020008,18215663.944126
1.022707,18213672.705282
1.025410,18179370.379521
1.028117,18160254.491848
1.030814,18222153.678241
1.033519,18175686.469408
1.036224,18167396.413092
1.038929,18174611.156797
1.041637,18150805.453070
1.044337,18203109.549744
1.047097,17810057.218142
1.049797,18203520.784316
1.052499,18192114.233686
1.055196,18219917.878406
1.057903,18162052.867714
1.060604,18191178.359189
1.063305,18203891.585515
1.066007,18189004.001048
1.068707,18202570.253878
1.071410,18184576.111286
1.074115,18171842.812377
1.076813,18219181.738117
1.079512,18206514.592585
1.082216,18177857.644504
1.084917,18203433.142603
1.087617,18202927.533817
1.090315,18215063.151630
1.093016,18196700.737353
1.095716,18205739.074779
1.098419,18182080.485447
1.101125,18168940.987907
1.103828,18179592.268495
1.106529,18202860.121434
1.109229,18200864.941006
1.111932,18182531.127301
1.114639,18159140.751074
1.117347,18151670.144210
1.120043,18231055.032549
1.122750,18158382.680379
1.125456,18164120.097827
1.128159,18183856.278280
1.130860,18197677.604328
1.133565,18167503.853276
1.136270,18174517.072998
1.138977,18158416.221991
1.141680,18183607.377324
1.144378,18219201.998063
1.147079,18197731.503490
1.149781,18187779.049863
1.152479,18217932.461849
1.155181,18189643.464189
1.157892,18134144.411277
1.160592,18205961.607912
1.163289,18219195.244743
1.165990,18202597.217912
1.168691,18198614.147690
1.171401,18134940.605413
1.174098,18222802.230395
1.176800,18191084.103786
1.179500,18205368.198312
1.182205,18171936.868491
1.184909,18178899.723869
1.187610,18194895.493735
1.190307,18226133.543361
1.193009,18193346.503078
1.195710,18192302.766820
1.198411,18202415.212230
1.201113,18189454.986169
1.203811,18219120.958550
1.206516,18166536.937368
1.209221,18170573.150124
1.211922,18200945.818193
1.214629,18153808.765255
1.217332,18188990.539149
1.220029,18223038.693185
1.222735,18162851.514476
1.225441,18167013.667765
1.228135,18245205.585219
1.230834,18209064.151461
1.233539,18170223.856182
1.236237,18214786.395387
1.238945,18153748.421076
1.241709,17784422.492924
1.244406,18226282.230747
1.247102,18226822.932601
1.249806,18181892.164127
1.252504,18216912.909280
1.255205,18193663.014510
1.257908,18189825.214550
1.260615,18156450.892585
1.263316,18197778.665518
1.266018,18190417.611309
1.268723,18166013.234224
1.271425,18191609.253471
1.274131,18166040.090061
1.276834,18181455.004672
1.279545,18135616.421677
1.282242,18225748.319146
1.284947,18170519.411721
1.287649,18188808.805468
1.290354,18169176.054924
1.293054,18205914.403459
1.295755,18196997.154868
1.298458,18187644.449904
1.301161,18181885.438437
1.303865,18175572.211402
1.306572,18160610.112554
1.309277,18171836.094120
1.311978,18197482.222542
1.314674,18229073.948802
1.317372,18215501.928763
1.320078,18166872.660394
1.322781,18186540.805385
1.325481,18203628.652197
1.328187,18163401.883374
1.330890,18185343.098878
1.333596,18159449.364353
1.336301,18173925.711416
1.339006,18171439.725772
1.341707,18197825.827792
1.344409,18187886.731265
1.347109,18206406.690499
1.349812,18185457.479765
1.352524,18119537.633283
1.355228,18180183.998908
1.357930,18187866.540905
1.360635,18175370.583130
1.363334,18210399.919677
1.366036,18189414.598530
1.368740,18176345.161221
1.371442,18191777.577094
1.374142,18207883.711368
1.376845,18180439.530768
1.379547,18195548.842788
1.382253,18161791.141619
1.384952,18209475.655125
1.387655,18184347.373125
1.390360,18169343.963661
1.393061,18199982.078468
1.395764,18182726.188164
