src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate
1,1,0,0,1,1,0,0,2,0.0,0.0,3,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,31,0.0,0,0,0
1,1,0,0,1,0,0,0,2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,2,0.0,0,0,0
1,1,1,0,0,1,0,0,23,0.0,0.0,5,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,23,0.0,0.0,4,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,1,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,1,-2,0.0,0.0,1,1.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,1
1,1,1,0,0,1,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,5,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,5,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,183,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,257,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,183,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,183,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,165,0.0,0.0,183,0.0,0,0,0
1,1,0,0,1,0,0,0,165,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,233,0.0,0.0,226,0.0,0,0,0
